time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577840581.89943910,0.01216539,0.00816440,-nan,2735.00000000,0.01216539,0.000000,0.000000
1577840581.99928594,0.01217488,0.00946363,-nan,4790.00000000,0.01218438,0.000000,0.000000
1577840582.09991717,0.01087442,0.00541997,-nan,2996.00000000,0.00827349,0.000000,0.000000
1577840582.19975615,0.01538390,0.01205664,-nan,3334.00000000,0.02891235,0.000000,0.000000
1577840582.29959989,0.01724696,0.01214638,-nan,3494.00000000,0.02469918,0.000000,0.000000
1577840582.39944100,0.02483919,0.01041923,0.00000770,3542.00000000,0.06280036,0.000000,0.000000
1577840582.49967003,0.03143883,0.01649649,0.00000478,3847.00000000,0.07103668,0.000000,0.000000
1577840582.59951115,0.03030352,0.00378514,0.00000453,4024.00000000,0.02235636,0.000000,0.000000
1577840582.69934702,0.03233875,0.00406282,0.00000627,4157.00000000,0.04862059,0.000000,0.000000
1577840582.79999304,0.03209713,0.00898727,0.00000586,4351.00000000,0.02992256,0.000000,0.000000
1577840582.89984107,0.03372347,0.00473762,0.00000599,4405.00000000,0.04998682,0.000000,0.000000
1577840582.99969006,0.03671638,0.01206417,0.00000816,4460.00000000,0.06963838,0.000000,0.000000
1577840583.09953594,0.04422851,0.01013418,0.00000650,4555.00000000,0.13437416,0.000000,0.000000
1577840583.19937110,0.04279746,0.00308898,0.00000490,4061.00000000,0.02419375,0.000000,0.000000
1577840583.29961896,0.04218702,0.00295277,0.00000463,4304.00000000,0.03364090,0.000000,0.000000
1577840583.39946198,0.04548756,0.00369665,0.00000643,4522.00000000,0.09499564,0.000000,0.000000
1577840583.49931383,0.04732252,0.00395855,0.00001000,4705.00000000,0.07668180,0.000000,0.000000
1577840583.59994006,0.04919674,0.00389061,0.00000905,4905.00000000,0.08105846,0.000000,0.000000
1577840583.69977713,0.05025013,0.01073066,0.00000823,5081.00000000,0.06921128,0.000000,0.000000
1577840583.79962707,0.05391449,0.00404072,0.00000681,5195.00000000,0.12353721,0.000000,0.000000
1577840583.89946198,0.05380828,0.00311860,0.00000819,5251.00000000,0.05168411,0.000000,0.000000
1577840583.99931002,0.05242314,0.00320745,0.00000533,5306.00000000,0.02333528,0.000000,0.000000
1577840584.09992504,0.05111699,0.00230874,0.00000478,5364.00000000,0.02238154,0.000000,0.000000
1577840584.19977903,0.05296634,0.03477615,0.00001006,5475.00000000,0.09550145,0.000000,0.000000
1577840584.29962397,0.05341799,0.00413494,0.00000712,5489.00000000,0.06425773,0.000000,0.000000
1577840584.39945507,0.05712602,0.00402403,0.00000514,5546.00000000,0.14982677,0.000000,0.000000
1577840584.49929285,0.05679690,0.00912026,0.00000837,5647.00000000,0.04823968,0.000000,0.000000
1577840584.59993076,0.05581404,0.00335197,0.00000599,5767.00000000,0.02927670,0.000000,0.000000
1577840584.69977593,0.05627220,0.00419544,0.00000789,5826.00000000,0.06910067,0.000000,0.000000
1577840584.79960394,0.05529681,0.00388936,0.00000482,5878.00000000,0.02701049,0.000000,0.000000
1577840584.89943814,0.05411672,0.00308814,0.00000484,5947.00000000,0.01871408,0.000000,0.000000
1577840584.99967694,0.05364368,0.00968230,0.00000486,6005.00000000,0.03897937,0.000000,0.000000
1577840585.09950423,0.05305989,0.01182865,0.00000530,6064.00000000,0.03437881,0.000000,0.000000
1577840585.19934106,0.05217042,0.00292922,0.00000521,6079.00000000,0.02281772,0.000000,0.000000
1577840585.29997802,0.05154136,0.01204251,0.00000474,6161.00000000,0.03015345,0.000000,0.000000
1577840585.39980221,0.05073248,0.00335960,0.00000584,5840.00000000,0.02242160,0.000000,0.000000
1577840585.49964595,0.05013281,0.00638071,0.00000509,5905.00000000,0.02854487,0.000000,0.000000
1577840585.59948707,0.04936630,0.00378454,0.00000481,6015.00000000,0.02100545,0.000000,0.000000
1577840585.69932604,0.04923905,0.00561281,0.00000522,6077.00000000,0.04440329,0.000000,0.000000
