%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1683047713.110985769,0,1683047713.110985769,0.000408777,-0.000354636,0.000468123,0.000131643,-0.000112726,-4.3635e-05,1
1683047713.215556674,1,1683047713.215556674,0.00103566,-0.000989833,0.00097891,0.000151772,-0.000140495,-4.04371e-05,1
1683047713.337554636,2,1683047713.337554636,0.00118999,-0.000915885,0.00130458,0.000125361,-0.000182683,-5.21765e-05,1
1683047713.428040392,3,1683047713.428040392,0.00111552,-0.0014581,0.00157509,0.000153585,-0.000191109,-3.71312e-05,1
1683047713.596039329,4,1683047713.596039329,0.00154046,-0.0017148,0.000881758,0.000119902,-0.000123548,-1.81986e-05,1
1683047713.674476865,5,1683047713.674476865,0.00325999,-0.00213002,0.00128473,0.000172404,-8.20763e-05,-0.000109691,1
1683047713.735179902,6,1683047713.735179902,0.00315668,0.000799491,-0.000279529,0.000126124,-0.000136906,-0.000117914,1
1683047713.880878222,7,1683047713.880878222,0.00276374,0.00186333,-0.00131839,0.000121157,-0.000164206,-0.000157382,1
1683047713.950060342,8,1683047713.950060342,0.00171099,0.000432676,-0.00281301,0.00015226,-0.000153697,-0.000130851,1
1683047714.024764950,9,1683047714.024764950,0.00067737,0.00174625,0.00013308,8.39672e-05,-0.000136874,-3.85195e-05,1
1683047714.111083515,10,1683047714.111083515,0.000766647,-0.000189829,0.000362608,9.57231e-05,-0.000116478,-5.9501e-05,1
1683047714.244584550,11,1683047714.244584550,0.000204334,8.43369e-05,0.00034448,8.09021e-05,-0.000158672,-2.1311e-05,1
1683047714.314355063,12,1683047714.314355063,0.000887825,0.00231198,0.000958202,0.000140707,-0.000102254,-5.85016e-05,1
1683047714.422870644,13,1683047714.422870644,0.000308358,0.00211936,0.00268447,0.000122672,-6.57131e-05,-0.000103977,1
1683047714.523761726,14,1683047714.523761726,0.00331337,2.83518e-05,0.00188816,0.00010641,-4.72405e-05,-9.72109e-05,1
1683047714.622688489,15,1683047714.622688489,0.00426075,0.000670641,0.00045957,0.000115159,-0.000105719,-2.04498e-05,1
1683047714.731341967,16,1683047714.731341967,0.00279579,-0.00100721,0.00193706,0.000150312,-5.85695e-05,2.49973e-05,1
1683047714.798993793,17,1683047714.798993793,-0.00124826,0.00272769,-0.00177854,0.000154159,-0.000168596,-0.000116091,1
1683047714.903559489,18,1683047714.903559489,-0.00155681,0.00116466,-0.00151571,0.000102811,-0.000145244,-2.76968e-05,1
1683047715.018524321,19,1683047715.018524321,-0.00290127,0.000125726,0.00059686,7.44299e-05,-0.000129899,0.000128626,1
1683047715.111416535,20,1683047715.111416535,-0.0016574,0.00190011,0.000226402,9.09722e-05,-0.000122771,6.66572e-05,1
1683047715.210862499,21,1683047715.210862499,-0.00119176,0.00192101,0.000453507,0.000124131,-0.000114243,5.2735e-05,1
1683047715.320953721,22,1683047715.320953721,-0.00204286,-0.000506603,0.00100552,0.000101694,-4.67531e-05,0.000122895,1
1683047715.430531685,23,1683047715.430531685,0.00118712,0.00132198,0.00154877,0.000116149,-6.90013e-05,-3.35595e-05,1
1683047715.521412940,24,1683047715.521412940,0.00105235,0.000190902,0.00204238,0.000138252,-7.30309e-05,3.73906e-05,1
1683047715.632123610,25,1683047715.632123610,0.000334148,-0.000304539,0.00268745,0.000158828,-5.54712e-05,-3.72221e-05,1
1683047715.701374832,26,1683047715.701374832,-0.001895,0.00217009,-0.000827501,0.000145939,-0.000160537,7.04119e-05,1
1683047715.804079278,27,1683047715.804079278,-0.00269068,0.00287154,-0.00188648,0.000125617,-0.000181928,0.000129828,1
1683047715.900312330,28,1683047715.900312330,-0.00624356,0.00202084,-0.0014993,0.000122761,-0.000148874,8.27409e-05,1
1683047716.003412119,29,1683047716.003412119,-0.00525979,0.00276664,-0.0013428,0.000150452,-0.000173105,0.000194153,1
1683047716.109940831,30,1683047716.109940831,-0.00365039,0.000968934,0.000542949,0.000128917,-0.000125722,3.19712e-05,1
1683047716.210248089,31,1683047716.210248089,-0.00336625,0.00318577,0.000567165,8.7844e-05,-0.000142506,8.28793e-05,1
1683047716.427468448,32,1683047716.427468448,-0.000952607,0.00323868,0.001704,0.000134741,-7.69077e-05,9.23207e-05,1
1683047716.458078442,33,1683047716.458078442,-0.00146681,0.00159445,0.00221105,0.000100104,-7.10527e-05,2.00817e-05,1
1683047716.520719206,34,1683047716.520719206,-0.00020467,0.000292594,0.0029443,0.000131996,-4.3897e-05,3.05186e-05,1
1683047716.629322804,35,1683047716.629322804,-0.00254119,0.00188109,0.00256491,0.000127846,-0.000116101,8.93857e-05,1
1683047716.736427022,36,1683047716.736427022,-0.00497101,0.00199775,0.00238886,0.000163286,-2.67222e-05,0.000114623,1
1683047716.800660926,37,1683047716.800660926,-0.00696584,0.00259902,-0.000481558,0.000157937,-0.000139935,8.2227e-05,1
1683047716.898699428,38,1683047716.898699428,-0.00555272,0.00348407,-0.00105023,0.000152712,-0.000143619,0.000108336,1
1683047716.997385795,39,1683047716.997385795,-0.0028385,0.00315752,-0.00148072,0.000124987,-0.000172969,0.000195523,1
1683047717.101000895,40,1683047717.101000895,-0.00151389,0.0036652,-0.000283021,0.000130722,-0.000172272,0.000129552,1
1683047717.213558538,41,1683047717.213558538,-0.0033526,0.00363537,0.001664,0.000123862,-9.59457e-05,0.000187965,1
1683047717.313032256,42,1683047717.313032256,-0.00559151,0.0045064,0.00202182,0.00019338,-9.17394e-05,0.000120014,1
1683047717.421074939,43,1683047717.421074939,-0.00549449,0.00232742,0.00322603,0.00016403,-5.3046e-05,0.000175799,1
1683047717.524589934,44,1683047717.524589934,-0.00276637,0.00294074,0.00369947,0.000166328,-7.76069e-05,0.000115378,1
1683047717.633951515,45,1683047717.633951515,0.00189454,0.00574698,0.00340249,0.00015996,-5.30974e-06,8.05971e-05,1
1683047717.733688049,46,1683047717.733688049,-0.00178141,0.00277621,0.00301492,0.000180375,-1.19138e-05,0.000150131,1
