%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1609045333348801840,0,1609045333348801840,0.000261657,-0.000294875,0.000176824,3.38379e-05,-3.99452e-05,1.33415e-05,1,0,0,0,0,0,0
1609045333451408127,1,1609045333451408127,0.000753007,-0.000759556,0.000794152,0.000116308,-0.00011735,-2.01642e-05,1,0,0,0,0,0,0
1609045333554259442,2,1609045333554259442,0.0012937,-0.000397009,0.000573841,0.000147675,-2.90098e-05,-6.7113e-05,1,0,0,0,0,0,0
1609045333657127079,3,1609045333657127079,0.00094911,-0.00092138,0.00161677,0.00010258,-0.000110394,-5.40751e-05,1,0,0,0,0,0,0
1609045333760306807,4,1609045333760306807,0.000818826,0.00122662,0.00122588,8.50274e-05,-7.88516e-05,-3.17094e-06,1,0,0,0,0,0,0
1609045333863747823,5,1609045333863747823,-0.00103779,-0.00148874,0.00148001,0.000136708,-5.90945e-05,4.62725e-06,1,0,0,0,0,0,0
1609045333934010280,6,1609045333934010280,-0.00223222,-0.00270111,0.00166292,0.000169442,-1.12242e-06,-2.58968e-05,1,0,0,0,0,0,0
1609045334035312750,7,1609045334035312750,-0.00134166,-1.46631e-05,0.000189524,0.000121833,-6.11058e-05,-8.49309e-05,1,0,0,0,0,0,0
1609045334138331775,8,1609045334138331775,-0.00144457,0.00147893,-0.00129149,0.000103737,-8.61311e-05,-8.70674e-05,1,0,0,0,0,0,0
1609045334241468648,9,1609045334241468648,-0.000252412,0.000576046,-0.00239892,0.000154822,-6.58205e-05,-4.02429e-05,1,0,0,0,0,0,0
1609045334344986375,10,1609045334344986375,0.000130847,0.000972273,0.000600929,7.43769e-05,-5.068e-05,7.85309e-06,1,0,0,0,0,0,0
1609045334448817033,11,1609045334448817033,-0.00170485,-0.0013422,0.00101145,0.000103309,-3.67004e-05,4.60478e-05,1,0,0,0,0,0,0
1609045334550580743,12,1609045334550580743,-0.00246522,-0.000655207,0.000514458,6.53075e-05,-7.31962e-05,0.000141226,1,0,0,0,0,0,0
1609045334654011082,13,1609045334654011082,-0.00085347,0.00218262,0.0016121,0.000141145,-2.74163e-05,3.5999e-05,1,0,0,0,0,0,0
1609045334756903906,14,1609045334756903906,-0.000597814,0.00174619,0.00323481,0.000112226,1.19403e-05,-2.27162e-05,1,0,0,0,0,0,0
1609045334860278746,15,1609045334860278746,0.00243258,-0.00107166,0.00283823,8.94736e-05,3.48843e-05,1.84813e-05,1,0,0,0,0,0,0
1609045334962992249,16,1609045334962992249,0.00153436,-0.00154626,0.00188577,0.000109928,-2.06498e-05,8.13183e-05,1,0,0,0,0,0,0
1609045335036881994,17,1609045335036881994,0.000215928,-0.00210599,0.00310006,0.000165717,2.91767e-05,0.000143189,1,0,0,0,0,0,0
1609045335140093684,18,1609045335140093684,-0.00421283,0.000427883,1.02048e-05,0.00019838,-8.479e-05,3.49202e-05,1,0,0,0,0,0,0
1609045335243832046,19,1609045335243832046,-0.00274465,-0.000387545,-0.000272105,0.000113887,-6.83021e-05,6.35765e-05,1,0,0,0,0,0,0
1609045335346648794,20,1609045335346648794,-0.00528979,-0.000807205,0.00138513,7.53279e-05,-5.36533e-05,0.000255789,1,0,0,0,0,0,0
1609045335450445708,21,1609045335450445708,-0.00495874,0.000857869,0.00162432,9.01249e-05,-4.03456e-05,0.000113996,1,0,0,0,0,0,0
1609045335553537074,22,1609045335553537074,-0.0039055,0.00172243,0.00148092,0.000102735,-3.01338e-05,0.000191793,1,0,0,0,0,0,0
1609045335657122533,23,1609045335657122533,-0.0062057,-0.000772683,0.00200126,9.55798e-05,2.11396e-05,0.000243261,1,0,0,0,0,0,0
1609045335758650635,24,1609045335758650635,-0.00283176,-0.000862315,0.00322453,0.000122915,6.83067e-06,0.000112802,1,0,0,0,0,0,0
1609045335861435989,25,1609045335861435989,-0.00266974,-0.000826931,0.00305455,0.000121285,2.95925e-06,0.000194026,1,0,0,0,0,0,0
1609045335933333316,26,1609045335933333316,-0.0038577,-0.00173991,0.00408535,0.000160769,3.06576e-05,7.42743e-05,1,0,0,0,0,0,0
1609045336033698866,27,1609045336033698866,-0.00534894,0.000847076,0.000527425,0.000127628,-7.27348e-05,0.000225339,1,0,0,0,0,0,0
1609045336137942855,28,1609045336137942855,-0.00644566,0.000520303,-0.000676674,0.000122894,-9.40549e-05,0.000249993,1,0,0,0,0,0,0
1609045336240868301,29,1609045336240868301,-0.0092287,-0.000829455,-0.000226421,0.000109567,-5.74868e-05,0.000186459,1,0,0,0,0,0,0
1609045336342889199,30,1609045336342889199,-0.00616173,0.000783763,-0.000126767,0.000147171,-8.15873e-05,0.000290829,1,0,0,0,0,0,0
1609045336445773839,31,1609045336445773839,-0.00582656,-0.00142406,0.00204131,0.00011532,-3.09239e-05,0.000137481,1,0,0,0,0,0,0
1609045336550275340,32,1609045336550275340,-0.00537698,0.00106604,0.00190373,8.27995e-05,-6.23985e-05,0.000236149,1,0,0,0,0,0,0
1609045336652543720,33,1609045336652543720,-0.00220639,0.00172654,0.0030382,0.000139309,4.55194e-06,0.00023598,1,0,0,0,0,0,0
1609045336755619516,34,1609045336755619516,-0.00423346,-0.000943154,0.00374817,9.49777e-05,2.85972e-05,0.000169417,1,0,0,0,0,0,0
1609045336858505284,35,1609045336858505284,-0.00294745,-0.00175419,0.0043587,0.000123481,3.72368e-05,0.000185642,1,0,0,0,0,0,0
1609045336961292435,36,1609045336961292435,-0.00407942,0.000306943,0.0037111,0.000109826,-2.12861e-05,0.000189247,1,0,0,0,0,0,0
1609045337034416236,37,1609045337034416236,-0.00560782,0.000136177,0.00414464,0.000168786,6.97353e-05,0.000263667,1,0,0,0,0,0,0
1609045337133888768,38,1609045337133888768,-0.00924936,0.00100447,0.000917772,0.00015809,-4.79386e-05,0.000242067,1,0,0,0,0,0,0
1609045337237661233,39,1609045337237661233,-0.00785588,0.00157531,0.000385697,0.000137875,-4.98305e-05,0.000235197,1,0,0,0,0,0,0
1609045337339965043,40,1609045337339965043,-0.00514884,0.00137814,0.000516784,0.000132982,-7.39024e-05,0.000260602,1,0,0,0,0,0,0
